participant_id,account_status,horizon,movements_with_material_improvement,largest_change_pct,movements_advancing_standard,candidate_reason,review_required
WSP-A608A874FA,deactivated,6 months (120-240d),4,322.2,0,4 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-20AB5BBD04,deactivated,6 months (120-240d),2,65.7,1,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-4D975D7B38,active,6 months (120-240d),2,217.5,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-FFE4F951EE,active,6 months (120-240d),2,185.7,1,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-7AF30340EE,active,6 months (120-240d),4,92.4,0,4 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-B242C627C1,deactivated,6 months (120-240d),2,138.1,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-025D1B9E8F,active,6 months (120-240d),4,140.0,1,4 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-772B007974,deactivated,6 months (120-240d),2,66.2,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-9F3E1B2C42,active,6 months (120-240d),2,890.0,1,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-A9F42F42C7,active,6 months (120-240d),4,270.0,2,4 movements improved >=20% and >=5kg; at least one movement improved >=50%; 2 movements advanced a standard,Yes: validate exercise conventions and member consent before use
WSP-3EF3AD1B29,deactivated,6 months (120-240d),4,551.3,0,4 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-448F3A92B9,active,6 months (120-240d),1,77.8,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-4181CABB30,active,6 months (120-240d),1,51.5,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-E9A8A91ADC,deactivated,6 months (120-240d),2,142.4,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-D785D5403C,deactivated,6 months (120-240d),2,163.2,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-8CCDDCA7F8,active,6 months (120-240d),3,55.0,0,3 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-24E001627C,active,6 months (120-240d),2,268.4,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-65844E9BB6,active,6 months (120-240d),2,68.4,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-162A2FA4DA,active,6 months (120-240d),2,81.1,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-AE501F0741,active,6 months (120-240d),2,1550.0,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-DD22528242,active,6 months (120-240d),3,1550.0,0,3 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-1E3011EEFF,active,6 months (120-240d),2,98.9,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-FBAE4B79EB,active,6 months (120-240d),2,174.3,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-7B4D1A0ABA,active,6 months (120-240d),1,200.0,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-DCBB383449,active,6 months (120-240d),2,79.6,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-F0083620C2,active,6 months (120-240d),1,50.0,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-55092FC821,active,6 months (120-240d),3,250.9,0,3 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-1BEBCFDBD3,active,6 months (120-240d),2,93.4,0,at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
WSP-23F6FE79B4,active,6 months (120-240d),3,112.1,0,3 movements improved >=20% and >=5kg; at least one movement improved >=50%,Yes: validate exercise conventions and member consent before use
