participant_id,account_status,horizon,baseline_stage,baseline_stage_label,baseline_exercise,baseline_date,followup_stage,followup_stage_label,followup_exercise,followup_date,stages_gained,confirmed_goblet_to_nexus,progression_classification
WSP-793DCC26EF,deactivated,Beyond 24 months (901d+),2,Nexus Point Squat,Barbell Back Squat,2023-09-11,2,Nexus Point Squat,Barbell Front Squat,2026-03-06,0,False,Same highest stage observed
WSP-EE6F308504,deactivated,6 months (120-240d),2,Nexus Point Squat,Barbell Back Squat,2023-09-11,2,Nexus Point Squat,Nexus Point Squat,2024-01-15,0,False,Same highest stage observed
WSP-EE6F308504,deactivated,12 months (300-450d),2,Nexus Point Squat,Barbell Back Squat,2023-09-11,2,Nexus Point Squat,Nexus Point Squat,2024-08-09,0,False,Same highest stage observed
WSP-A51366448E,deactivated,6 months (120-240d),2,Nexus Point Squat,Barbell Back Squat,2023-09-25,2,Nexus Point Squat,Nexus Point Squat,2024-01-29,0,False,Same highest stage observed
WSP-A51366448E,deactivated,12 months (300-450d),2,Nexus Point Squat,Barbell Back Squat,2023-09-25,2,Nexus Point Squat,Nexus Point Squat,2024-07-26,0,False,Same highest stage observed
WSP-0D8377D20F,deactivated,6 months (120-240d),2,Nexus Point Squat,Barbell Back Squat,2023-09-11,2,Nexus Point Squat,Nexus Point Squat,2024-01-15,0,False,Same highest stage observed
WSP-126D7BFCF6,deactivated,12 months (300-450d),1,Goblet Squat,Goblet Box Squat,2023-10-16,1,Goblet Squat,Goblet Box Squat,2024-08-16,0,False,Same highest stage observed
WSP-3147A61873,deactivated,6 months (120-240d),2,Nexus Point Squat,Barbell Back Squat,2023-09-11,2,Nexus Point Squat,Nexus Point Squat,2024-01-29,0,False,Same highest stage observed
WSP-3147A61873,deactivated,12 months (300-450d),2,Nexus Point Squat,Barbell Back Squat,2023-09-11,2,Nexus Point Squat,Nexus Point Squat,2024-07-12,0,False,Same highest stage observed
WSP-DB04841EAF,deactivated,6 months (120-240d),2,Nexus Point Squat,Barbell Back Squat,2023-10-09,2,Nexus Point Squat,Nexus Point Squat,2024-01-15,0,False,Same highest stage observed
WSP-8DEF3EDD80,deactivated,6 months (120-240d),2,Nexus Point Squat,Barbell Back Squat,2023-09-25,2,Nexus Point Squat,Nexus Point Squat,2024-03-04,0,False,Same highest stage observed
WSP-238D187D11,deactivated,12 months (300-450d),2,Nexus Point Squat,Barbell Back Squat,2023-09-25,2,Nexus Point Squat,Nexus Point Squat,2024-09-27,0,False,Same highest stage observed
WSP-E3A5A761C3,active,6 months (120-240d),2,Nexus Point Squat,Barbell Back Squat,2023-09-25,2,Nexus Point Squat,Nexus Point Squat,2024-02-12,0,False,Same highest stage observed
WSP-E3A5A761C3,active,12 months (300-450d),2,Nexus Point Squat,Barbell Back Squat,2023-09-25,2,Nexus Point Squat,Nexus Point Squat,2024-08-16,0,False,Same highest stage observed
WSP-E3A5A761C3,active,24 months (600-900d),2,Nexus Point Squat,Barbell Back Squat,2023-09-25,2,Nexus Point Squat,Nexus Point Squat,2025-07-07,0,False,Same highest stage observed
WSP-E3A5A761C3,active,Beyond 24 months (901d+),2,Nexus Point Squat,Barbell Back Squat,2023-09-25,2,Nexus Point Squat,Barbell Front Squat,2026-03-20,0,False,Same highest stage observed
WSP-C1751DA190,deactivated,6 months (120-240d),2,Nexus Point Squat,Barbell Back Squat,2023-10-30,2,Nexus Point Squat,Nexus Point Squat,2024-02-19,0,False,Same highest stage observed
WSP-C1751DA190,deactivated,12 months (300-450d),2,Nexus Point Squat,Barbell Back Squat,2023-10-30,2,Nexus Point Squat,Nexus Point Squat,2024-08-23,0,False,Same highest stage observed
WSP-C1751DA190,deactivated,24 months (600-900d),2,Nexus Point Squat,Barbell Back Squat,2023-10-30,2,Nexus Point Squat,Barbell Front Squat,2025-06-23,0,False,Same highest stage observed
WSP-C9A3080F47,deactivated,6 months (120-240d),2,Nexus Point Squat,Barbell Back Squat,2023-10-30,2,Nexus Point Squat,Nexus Point Squat,2024-02-26,0,False,Same highest stage observed
WSP-C43D13B011,deactivated,6 months (120-240d),2,Nexus Point Squat,Barbell Back Squat,2023-11-06,2,Nexus Point Squat,Nexus Point Squat,2024-03-04,0,False,Same highest stage observed
WSP-C43D13B011,deactivated,12 months (300-450d),2,Nexus Point Squat,Barbell Back Squat,2023-11-06,1,Goblet Squat,Goblet Box Squat,2024-10-11,-1,False,Only a lower stage was observed in this window; not evidence of regression
WSP-F3DDD2F754,active,6 months (120-240d),2,Nexus Point Squat,Barbell Back Squat,2023-11-13,2,Nexus Point Squat,Nexus Point Squat,2024-03-11,0,False,Same highest stage observed
WSP-F3DDD2F754,active,12 months (300-450d),2,Nexus Point Squat,Barbell Back Squat,2023-11-13,2,Nexus Point Squat,Nexus Point Squat,2024-09-06,0,False,Same highest stage observed
WSP-F3DDD2F754,active,24 months (600-900d),2,Nexus Point Squat,Barbell Back Squat,2023-11-13,2,Nexus Point Squat,Nexus Point Squat,2025-07-07,0,False,Same highest stage observed
WSP-F3DDD2F754,active,Beyond 24 months (901d+),2,Nexus Point Squat,Barbell Back Squat,2023-11-13,2,Nexus Point Squat,Nexus Point Squat,2026-06-29,0,False,Same highest stage observed
WSP-33FE7D8280,deactivated,6 months (120-240d),1,Goblet Squat,Goblet Box Squat,2023-11-22,2,Nexus Point Squat,Nexus Point Squat,2024-05-03,1,True,Advanced: confirmed Goblet to Nexus
WSP-1A45C09BA9,deactivated,6 months (120-240d),2,Nexus Point Squat,Barbell Back Squat,2023-11-27,2,Nexus Point Squat,Nexus Point Squat,2024-03-25,0,False,Same highest stage observed
WSP-45C51DD4A0,deactivated,6 months (120-240d),2,Nexus Point Squat,Nexus Point Squat,2023-12-11,2,Nexus Point Squat,Nexus Point Squat,2024-04-05,0,False,Same highest stage observed
WSP-45C51DD4A0,deactivated,12 months (300-450d),2,Nexus Point Squat,Nexus Point Squat,2023-12-11,2,Nexus Point Squat,Nexus Point Squat,2024-10-18,0,False,Same highest stage observed
WSP-45C51DD4A0,deactivated,24 months (600-900d),2,Nexus Point Squat,Nexus Point Squat,2023-12-11,2,Nexus Point Squat,Nexus Point Squat,2025-08-04,0,False,Same highest stage observed
WSP-A16D32377E,deactivated,6 months (120-240d),2,Nexus Point Squat,Nexus Point Squat,2023-12-25,2,Nexus Point Squat,Nexus Point Squat,2024-04-26,0,False,Same highest stage observed
WSP-A16D32377E,deactivated,12 months (300-450d),2,Nexus Point Squat,Nexus Point Squat,2023-12-25,2,Nexus Point Squat,Nexus Point Squat,2024-12-06,0,False,Same highest stage observed
WSP-508B2B9083,deactivated,6 months (120-240d),2,Nexus Point Squat,Nexus Point Squat,2024-01-01,2,Nexus Point Squat,Nexus Point Squat,2024-05-24,0,False,Same highest stage observed
WSP-508B2B9083,deactivated,12 months (300-450d),2,Nexus Point Squat,Nexus Point Squat,2024-01-01,2,Nexus Point Squat,Nexus Point Squat,2024-11-01,0,False,Same highest stage observed
WSP-8CC1C48139,deactivated,6 months (120-240d),2,Nexus Point Squat,Nexus Point Squat,2024-01-15,2,Nexus Point Squat,Nexus Point Squat,2024-05-10,0,False,Same highest stage observed
WSP-2DD2090892,deactivated,6 months (120-240d),2,Nexus Point Squat,Nexus Point Squat,2024-01-22,2,Nexus Point Squat,Nexus Point Squat,2024-06-14,0,False,Same highest stage observed
WSP-2F240CC891,deactivated,6 months (120-240d),2,Nexus Point Squat,Nexus Point Squat,2024-01-22,2,Nexus Point Squat,Nexus Point Squat,2024-05-24,0,False,Same highest stage observed
WSP-2F240CC891,deactivated,12 months (300-450d),2,Nexus Point Squat,Nexus Point Squat,2024-01-22,2,Nexus Point Squat,Barbell Front Squat,2025-03-03,0,False,Same highest stage observed
WSP-80F9D81D9C,deactivated,6 months (120-240d),2,Nexus Point Squat,Nexus Point Squat,2024-01-15,2,Nexus Point Squat,Nexus Point Squat,2024-07-19,0,False,Same highest stage observed
WSP-917EBE9157,active,12 months (300-450d),2,Nexus Point Squat,Nexus Point Squat,2024-02-19,2,Nexus Point Squat,Barbell Back Squat,2025-01-07,0,False,Same highest stage observed
WSP-917EBE9157,active,24 months (600-900d),2,Nexus Point Squat,Nexus Point Squat,2024-02-19,2,Nexus Point Squat,Barbell Front Squat,2025-10-06,0,False,Same highest stage observed
WSP-980C323A41,deactivated,6 months (120-240d),2,Nexus Point Squat,Nexus Point Squat,2024-02-05,2,Nexus Point Squat,Nexus Point Squat,2024-05-31,0,False,Same highest stage observed
WSP-3B237C01FD,deactivated,6 months (120-240d),2,Nexus Point Squat,Nexus Point Squat,2024-02-26,2,Nexus Point Squat,Nexus Point Squat,2024-06-07,0,False,Same highest stage observed
WSP-3B237C01FD,deactivated,12 months (300-450d),2,Nexus Point Squat,Nexus Point Squat,2024-02-26,2,Nexus Point Squat,Nexus Point Squat,2024-11-29,0,False,Same highest stage observed
WSP-3E3373D817,deactivated,6 months (120-240d),2,Nexus Point Squat,Nexus Point Squat,2024-02-12,2,Nexus Point Squat,Nexus Point Squat,2024-06-14,0,False,Same highest stage observed
WSP-3E3373D817,deactivated,12 months (300-450d),2,Nexus Point Squat,Nexus Point Squat,2024-02-12,2,Nexus Point Squat,Nexus Point Squat,2024-12-13,0,False,Same highest stage observed
WSP-1D64AEA7AC,active,6 months (120-240d),2,Nexus Point Squat,Nexus Point Squat,2024-02-19,2,Nexus Point Squat,Nexus Point Squat,2024-06-14,0,False,Same highest stage observed
WSP-1D64AEA7AC,active,12 months (300-450d),2,Nexus Point Squat,Nexus Point Squat,2024-02-19,2,Nexus Point Squat,Nexus Point Squat,2024-12-27,0,False,Same highest stage observed
WSP-1D64AEA7AC,active,24 months (600-900d),2,Nexus Point Squat,Nexus Point Squat,2024-02-19,2,Nexus Point Squat,Barbell Front Squat,2025-10-13,0,False,Same highest stage observed
WSP-8FCC2A12B0,deactivated,6 months (120-240d),2,Nexus Point Squat,Nexus Point Squat,2024-03-04,2,Nexus Point Squat,Nexus Point Squat,2024-06-29,0,False,Same highest stage observed
WSP-5A6CABB970,deactivated,6 months (120-240d),2,Nexus Point Squat,Nexus Point Squat,2024-03-04,2,Nexus Point Squat,Nexus Point Squat,2024-06-29,0,False,Same highest stage observed
WSP-5A6CABB970,deactivated,12 months (300-450d),2,Nexus Point Squat,Nexus Point Squat,2024-03-04,2,Nexus Point Squat,Barbell Front Squat,2025-01-20,0,False,Same highest stage observed
WSP-172DA73F30,deactivated,6 months (120-240d),2,Nexus Point Squat,Nexus Point Squat,2024-03-11,2,Nexus Point Squat,Nexus Point Squat,2024-07-12,0,False,Same highest stage observed
WSP-985E0421A3,deactivated,6 months (120-240d),2,Nexus Point Squat,Nexus Point Squat,2024-04-12,2,Nexus Point Squat,Nexus Point Squat,2024-08-02,0,False,Same highest stage observed
WSP-B13A9E275F,active,6 months (120-240d),2,Nexus Point Squat,Nexus Point Squat,2024-06-28,2,Nexus Point Squat,Barbell Front Squat,2025-01-06,0,False,Same highest stage observed
WSP-B13A9E275F,active,12 months (300-450d),2,Nexus Point Squat,Nexus Point Squat,2024-06-28,2,Nexus Point Squat,Barbell Front Squat,2025-04-14,0,False,Same highest stage observed
WSP-B13A9E275F,active,24 months (600-900d),2,Nexus Point Squat,Nexus Point Squat,2024-06-28,2,Nexus Point Squat,Nexus Point Squat,2026-07-20,0,False,Same highest stage observed
